Designator,Mid X,Mid Y,Rotation,Layer
C1,162.315,-30.57,90.0,top
C10,116.73,-113.02,90.0,top
C11,151.02,-103.48,180.0,top
C12,108.62,-140.95,180.0,top
C13,116.72,-132.87,0.0,top
C14,170.5,-151.75,0.0,top
C15,167.43,-112.1,180.0,top
C16,167.43,-110.35,180.0,top
C17,167.25,-151.75,180.0,top
C18,167.16,-64.31,0.0,top
C2,135.635,-30.59,270.0,top
C3,139.695,-73.16,270.0,top
C4,162.775,-36.04,270.0,top
C5,155.795,-67.76,90.0,top
C6,135.545,-35.38,270.0,top
C7,167.195,-62.09,0.0,top
C8,151.05,-100.18,180.0,top
C9,116.78,-117.11,90.0,top
R1,182.235,-129.71,180.0,top
R10,182.25,-149.25,180.0,top
R11,182.25,-147.25,180.0,top
R12,182.25,-145.75,180.0,top
R13,182.25,-144.0,180.0,top
R14,185.68,-142.35,180.0,top
R15,182.235,-142.35,180.0,top
R16,182.235,-139.85,180.0,top
R17,182.235,-134.85,180.0,top
R18,185.68,-132.35,180.0,top
R19,182.235,-132.35,180.0,top
R2,182.215,-127.18,180.0,top
R20,158.0,-151.75,0.0,top
R21,162.175,-151.75,180.0,top
R22,174.75,-153.5,180.0,top
R23,174.75,-151.75,180.0,top
R24,182.18,-119.6,180.0,top
R25,157.87,-112.07,270.0,top
R26,182.25,-152.75,180.0,top
R27,182.18,-117.1,180.0,top
R28,150.255,-112.1,0.0,top
R3,185.68,-127.18,180.0,top
R4,185.68,-124.6,180.0,top
R5,182.215,-124.6,180.0,top
R6,185.68,-122.1,180.0,top
R7,182.18,-122.1,180.0,top
R8,185.68,-119.6,180.0,top
R9,182.25,-151.0,180.0,top
U1,142.265,-51.835,270.0,top
U10,159.75,-102.5,0.0,top
U2,151.175,-51.445,0.0,top
U3,154.855,-32.97,0.0,top
U4,148.265,-70.67,180.0,top
U5,127.995,-32.48,0.0,top
U6,115.2875,-140.75,90.0,top
U7,124.75,-116.0,0.0,top
U8,151.49,-124.355,0.0,top
U9,161.25,-132.25,0.0,top
